company_name,stock_name,filing_time,new_product,product_description
CIK-0000320193,AAPL,2025-02-25 16:47:19,,
CIK-0000320193,AAPL,2025-01-30 16:30:23,Apple Intelligence,"A new software feature that makes apps and experiences even better and more personal, powered by Apple silicon."
CIK-0000320193,AAPL,2025-01-03 16:30:56,,
CIK-0000320193,AAPL,2024-10-31 16:30:25,iPhone 16 lineup,A new line of smartphones announced by Apple
CIK-0000320193,AAPL,2024-09-10 09:06:34,,
CIK-0000320193,AAPL,2024-08-26 17:20:33,,
CIK-0000320193,AAPL,2024-08-23 16:30:44,,No new product or service was announced in this filing.
CIK-0000320193,AAPL,2024-08-01 16:30:26,Apple Intelligence,"A breakthrough personal intelligence system that puts powerful, private generative AI models at the core of iPhone, iPad, and Mac."
CIK-0000789019,MSFT,2025-01-29 16:08:56,,No new product announced in this filing.
CIK-0000789019,MSFT,2025-01-22 17:15:39,,
CIK-0000789019,MSFT,2024-12-11 16:01:27,,
CIK-0000789019,MSFT,2024-12-03 16:00:37,,
CIK-0000789019,MSFT,2024-10-30 16:04:07,Microsoft 365 Commercial cloud,"A subscription service that provides access to productivity software and services, including Word, Excel, PowerPoint, OneDrive, and Teams."
CIK-0000789019,MSFT,2024-08-21 16:08:55,Microsoft 365 Commercial products and cloud services,"A suite of productivity software and cloud services, including Office Commercial products, Enterprise Mobility + Security, Power BI per-user revenue, Windows Commercial products..."
CIK-0000789019,MSFT,2024-07-30 16:03:22,,No new product announced in this filing.
CIK-0000789019,MSFT,2024-04-25 16:03:19,Microsoft Copilot,Artificial Intelligence platform for transforming business outcomes across every role and industry
CIK-0001652044,GOOG,2025-03-18 08:43:32,Wiz Security Platform,"An easy-to-use cloud security platform that connects to all major clouds and code environments, preventing cybersecurity incidents for organizations of all sizes."
CIK-0001652044,GOOG,2025-02-04 16:01:27,AI Overviews and Circle to Search,AI-powered improvements to Google Search increasing user engagement
CIK-0001652044,GOOG,2024-10-29 16:01:46,,No new product announced in this filing
CIK-0001652044,GOOG,2024-10-17 14:20:32,,
CIK-0001652044,GOOG,2024-09-24 08:31:01,,No new product announced in the provided filing text.
CIK-0001652044,GOOG,2024-08-05 20:08:50,,
CIK-0001652044,GOOG,2024-07-23 16:01:54,,No new product is explicitly introduced or announced in this filing.
CIK-0001652044,GOOG,2024-06-26 10:55:04,,
CIK-0001018724,AMZN,2025-02-06 16:09:12,Trainium2 AI chip,A new artificial intelligence (AI) chip introduced by AWS
CIK-0001018724,AMZN,2024-10-31 16:13:57,All-new Kindle lineup,"Amazon launched a new lineup of Kindle e-readers, which is significantly outperforming their expectations"
CIK-0001018724,AMZN,2024-08-01 16:06:02,Amazon's Stores business,Expansion of physical retail stores into South Africa
CIK-0001018724,AMZN,2024-05-24 16:03:37,,
CIK-0001018724,AMZN,2024-05-03 16:41:53,,
CIK-0001018724,AMZN,2024-04-30 16:10:34,,
CIK-0001018724,AMZN,2024-04-10 18:24:36,,
CIK-0001318605,TSLA,2025-01-29 16:09:13,,
CIK-0001318605,TSLA,2025-01-02 09:06:39,,No new product was announced in this filing
CIK-0001318605,TSLA,2024-10-23 16:09:26,New vehicles – including more affordable models,
CIK-0001318605,TSLA,2024-10-02 09:06:34,,No new product was explicitly announced
CIK-0001318605,TSLA,2024-07-23 16:32:27,,
CIK-0001318605,TSLA,2024-07-02 09:24:01,,
CIK-0001318605,TSLA,2024-06-14 06:02:55,,
CIK-0001318605,TSLA,2024-04-23 16:09:55,,
CIK-0001326801,META,2025-02-20 16:33:09,None,No new product announced in this filing
CIK-0001326801,META,2025-01-29 16:47:14,Reality Labs,"A new focus on Reality Labs, which includes work in the areas of augmented and virtual reality."
CIK-0001326801,META,2025-01-06 16:40:45,,
CIK-0001326801,META,2024-10-30 16:08:12,,
CIK-0001326801,META,2024-09-10 16:53:12,,No new product announced in this filing
CIK-0001326801,META,2024-08-09 16:30:30,,There is no new product announced in this filing.
CIK-0001326801,META,2024-07-31 16:11:20,Meta AI assistant,First frontier-level open source AI model introduced by Meta Platforms
CIK-0001326801,META,2024-05-31 16:14:51,,
CIK-0001045810,NVDA,2025-03-07 17:09:13,,No new product or service was announced in the provided filing
CIK-0001045810,NVDA,2025-02-26 16:21:32,,
CIK-0001045810,NVDA,2025-01-17 16:59:50,,
CIK-0001045810,NVDA,2024-11-20 16:21:20,NVIDIA Hopper H200,New AI infrastructure product: NVIDIA Hopper H200-powered instances now available in several cloud services
CIK-0001045810,NVDA,2024-11-07 16:35:26,,
CIK-0001045810,NVDA,2024-08-28 16:21:16,Blackwell,"A new product category, NVIDIA Blackwell is a new architecture B200 Tensor Core processor for data centers."
CIK-0001045810,NVDA,2024-07-02 16:47:41,,
CIK-0001045810,NVDA,2024-06-07 16:19:34,,The text does not mention a new product or service.
CIK-0000050863,INTC,2025-03-14 17:00:44,,
CIK-0000050863,INTC,2025-03-14 17:00:12,,No new product or service is announced in this filing.
CIK-0000050863,INTC,2025-02-28 17:22:51,,No new product or service announced in this filing.
CIK-0000050863,INTC,2025-01-30 16:13:45,,
CIK-0000050863,INTC,2024-12-05 08:30:58,,
CIK-0000050863,INTC,2024-12-02 19:28:44,,No new product announced in the given filing.
CIK-0000050863,INTC,2024-11-27 17:00:19,Intel's commercial semiconductor manufacturing projects,"Advanced semiconductor manufacturing projects in Arizona, New Mexico, Ohio and Oregon"
CIK-0000050863,INTC,2024-10-31 16:07:17,Intel 18A,New process technology node introduced for foundry business
CIK-0000002488,AMD,2025-03-24 16:17:24,,This filing does not announce a new product or service.
CIK-0000002488,AMD,2025-03-11 20:14:01,,No new product is announced in this filing.
CIK-0000002488,AMD,2025-02-24 17:20:12,,
CIK-0000002488,AMD,2025-02-04 16:17:17,,
CIK-0000002488,AMD,2024-11-18 16:17:24,,No new product announced in the provided filing text.
CIK-0000002488,AMD,2024-10-29 16:16:49,AMD EPYC 9005 Series processors,New high-performance data center processors with record-breaking performance and energy efficiency for diverse data center needs
CIK-0000002488,AMD,2024-08-19 06:22:30,,
CIK-0000002488,AMD,2024-07-30 16:17:15,AMD Instinct MI325X accelerator,"A new AI accelerator with leadership memory capacity and compute performance, planned to be available in Q4 2024"
CIK-0001065280,NFLX,2025-01-21 16:02:20,Squid Game season 2,Second season of popular Netflix original series
CIK-0001065280,NFLX,2024-10-17 16:01:18,"The Perfect Couple , Nobody Wants This, Tokyo Swindlers, Emily in Paris, Cobra Kai, Beverly Hills Cop: Axel F , Rebel Ridge, Squid Game S2",New series and films released on the streaming platform
CIK-0001065280,NFLX,2024-08-01 16:14:14,,No new product announced in this filing.
CIK-0001065280,NFLX,2024-07-18 16:01:22,"New, simpler and more intuitive TV homepage","A new, improved Netflix TV homepage for better discovery experience"
CIK-0001065280,NFLX,2024-06-07 17:15:39,,
CIK-0001065280,NFLX,2024-04-18 16:02:24,Ads service,"Netflix is scaling its ads service, aiming to become a more meaningful contributor to the business in 2025 and beyond."
CIK-0001065280,NFLX,2024-01-23 16:02:17,,
CIK-0001065280,NFLX,2023-12-08 17:01:44,,No new product or service is announced in this filing
CIK-0001108524,CRM,2025-02-26 16:03:55,Agentforce & Data Cloud,"AI CRM platform, including Agentforce for customer service automation and Data Cloud for managing large data sets"
CIK-0001108524,CRM,2025-02-05 17:05:59,,There is no new product or service announced in this filing.
CIK-0001108524,CRM,2024-12-10 16:10:52,,No new product announced in this filing.
CIK-0001108524,CRM,2024-12-03 16:03:38,Agentforce,"Complete AI system for enterprises built into the Salesforce Platform, revolutionizing global labor and reshaping industries"
CIK-0001108524,CRM,2024-11-05 16:09:32,,
CIK-0001108524,CRM,2024-09-05 16:37:31,Own Data Platform,"A data platform that provides archiving, seeding, security, analytics capabilities to ensure the availability, compliance, and security of SaaS data"
CIK-0001108524,CRM,2024-08-28 16:02:42,Agentforce AI platform,Reimagining enterprise software for a world where humans work with autonomous agents.
CIK-0001108524,CRM,2024-07-01 16:18:35,,
CIK-0000796343,ADBE,2025-03-12 16:06:35,,
CIK-0000796343,ADBE,2025-01-30 16:17:12,,No new product or service is announced in this filing.
CIK-0000796343,ADBE,2025-01-17 16:05:22,,No new product or service is announced in this filing.
CIK-0000796343,ADBE,2024-12-11 16:06:49,,
CIK-0000796343,ADBE,2024-09-12 16:06:12,,
CIK-0000796343,ADBE,2024-08-08 16:05:40,,
CIK-0000796343,ADBE,2024-07-18 16:15:45,,
CIK-0000796343,ADBE,2024-06-13 16:06:10,,
CIK-0001341439,ORCL,2025-03-10 16:13:09,Oracle AI Data Platform,A new product that connects leading AI models to analyze all private data while keeping it secure.
CIK-0001341439,ORCL,2025-02-26 17:03:26,,
CIK-0001341439,ORCL,2025-02-03 16:15:14,,
CIK-0001341439,ORCL,2025-01-22 16:19:32,,
CIK-0001341439,ORCL,2025-01-13 16:30:14,,
